AUD,BGN,BRL,CAD,CHF,CNY,COP,CZK,DKK,DZD,EUR,GBP,HKD,HRK,HUF,IDR,ILS,INR,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,TWD,ZAR
0.1947665,0.2159659,0.2308254039,0.1597256,0.1641182,0.8277051999999999,0.229118,0.35081877,0.8230582,0.76221509,0.11064389999999999,0.0692852,0.7798407,0.8165523,0.27061296700000004,0.1042480637,0.4439478,0.48266209000000004,0.132252711,0.1312004868,0.09158110000000001,0.3803607,0.8864240000000001,0.2375415,0.51749281,0.393981,0.31740430000000003,0.30523678,1.0270524,0.18518479999999998,0.44209117,0.1450542155,0.35074131000000003,1.2283027
0.1938911,0.21613549999999998,0.2294046038,0.159606,0.164409,0.8277003,0.228942,0.35251216999999996,0.8231518,0.7595396200000001,0.1106684,0.069212,0.779803,0.820031,0.27149181099999997,0.1037155821,0.4478973,0.48213811,0.131717574,0.1307702523,0.09094179000000001,0.3798805,0.8865095000000001,0.2354914,0.51583665,0.3949757,0.31920099999999996,0.30627822,1.0218792,0.1849159,0.44045374000000004,0.1432049579,0.35015493999999997,1.2301018
0.1929864,0.2182153,0.23080187630000001,0.159761,0.1651664,0.8276971,0.22899099999999997,0.35662273999999994,0.8309694000000001,0.76353027,0.1116819,0.0694327,0.7798526,0.8297744,0.272671432,0.104185057,0.4485035,0.48266696000000003,0.13086888500000002,0.1303696672,0.09114139,0.3801094,0.8919477,0.23359390000000002,0.51665178,0.3938463,0.32071700000000003,0.30545231,1.0314161,0.184465,0.43929752,0.1419477329,0.3500335,1.2119946000000001
0.19292530000000002,0.2194273,0.23529477820000003,0.1595957,0.1652892,0.8277034999999999,0.229559,0.35957327,0.8353621999999999,0.76792925,0.1122965,0.06955639999999999,0.7798989,0.8354857000000001,0.27349803500000003,0.1037558675,0.4513981,0.48262774,0.131072431,0.13049971929999998,0.09170241000000001,0.38002250000000004,0.8955643,0.23400340000000003,0.5147333,0.3916002,0.32341380000000003,0.30556766,1.0343627,0.1846266,0.43857608,0.1401459854,0.34933183999999995,1.1892532
0.192053,0.2193288,0.2338534067,0.1601414,0.1650354,0.8277023,0.229559,0.36207206,0.8350095,0.76768885,0.112246,0.0693905,0.7798855,0.8383657,0.273599731,0.10423841060000001,0.44910759999999994,0.48244472,0.132697272,0.1304501066,0.09148726,0.37996409999999997,0.8933101000000001,0.23317990000000002,0.51693793,0.3936469,0.320889,0.30611629,1.0366259,0.1849703,0.44099787,0.1392973398,0.35060051999999997,1.1624986
0.1913463,0.21913459999999998,0.23739491089999998,0.15952249999999998,0.1657998,0.8276987,0.230631,0.36187647,0.8337967000000001,0.76682547,0.1120951,0.0693588,0.7798565,0.8412734000000001,0.273724919,0.1042408923,0.4460038,0.48289429,0.132328214,0.1306905055,0.09207152,0.3801592,0.8908754999999999,0.2332922,0.51570452,0.3988118,0.3202892,0.3055431,1.0364309,0.1846093,0.44067369,0.1394462504,0.35072301000000006,1.1314987
0.1904591,0.219441,0.23850039289999997,0.1599955,0.1664946,0.8277023,0.23063499999999998,0.36073633,0.8344258999999999,0.76619037,0.112246,0.0692783,0.7798631,0.8413963000000001,0.27425075800000004,0.1043117073,0.44689639999999997,0.48365698,0.132405433,0.1314502189,0.09220002,0.3800427,0.8924683,0.2327983,0.51355932,0.40307550000000003,0.3215512,0.30530699,1.0303626,0.1846447,0.44114939999999997,0.1387361096,0.35026378,1.1377483
0.19193860000000001,0.219251,0.2426505214,0.1602422,0.1658818,0.8277049,0.23115700000000003,0.36171095000000003,0.8334455000000001,0.7801098799999999,0.1121202,0.06927910000000001,0.7798408,0.8420002,0.274638412,0.1043978024,0.44919830000000005,0.48431439,0.132100011,0.1310505662,0.09291513,0.3803229,0.8915798,0.2357888,0.51318533,0.40427179999999996,0.32436370000000003,0.30491647,1.0259558,0.18429199999999998,0.44027021,0.1376835968,0.35080165999999996,1.1573046
0.1929988,0.2189985,0.2407415705,0.1596505,0.1656884,0.8277025,0.230454,0.36159964,0.8325977,0.76515627,0.11201970000000001,0.0689705,0.7798477,0.8413801,0.27319368200000005,0.10401512269999999,0.44789960000000006,0.4829394,0.13177999299999998,0.13070012320000002,0.09184945000000001,0.3798925,0.8898846,0.236104,0.5130839,0.40310290000000004,0.3200403,0.3046477,1.0308166,0.1834323,0.43885292,0.1365520332,0.35014002,1.1428699
0.1927371,0.2189644,0.23801838150000001,0.159258,0.16578120000000002,0.8276956,0.229731,0.36225062,0.8331875999999999,0.7665108700000001,0.1120825,0.06909889999999999,0.7798476,0.8407308,0.27330194999999996,0.1038633714,0.45095270000000004,0.48254876,0.131102892,0.13119031609999998,0.09202980999999999,0.3799148,0.8909998,0.2365501,0.5124523599999999,0.4039117,0.3209706,0.30541583,1.0343757,0.1824927,0.43845101999999997,0.1367406411,0.34988791999999996,1.1609953000000002
0.19435180000000002,0.2212771,0.23890212090000001,0.15909040000000002,0.16678010000000001,0.8276965000000001,0.228073,0.36523761,0.8427583000000001,0.77249858,0.11341730000000001,0.06958149999999999,0.7798571,0.8550527000000001,0.27668141100000004,0.10387864349999999,0.4532948,0.48261313,0.131371215,0.1310797323,0.09206079,0.3800499,0.8973574,0.2382897,0.51262334,0.4132698,0.3209709,0.30526937,1.045038,0.1831349,0.43889985000000004,0.1375751389,0.35010775000000005,1.1834978
